x	p	p0
0.02	22808	17567
0.03	1605	1132
0.04	2481	2432
0.05	6232	5843
0.06	63	52
0.07	5082	5496
0.08	334	314
0.09	2700	3105
0.1	1019	1110
0.11	1539	1870
0.12	1481	1736
0.13	588	714
0.14	1648	2006
0.15	432	502
0.16	1672	2000
0.17	677	856
0.18	1103	1404
0.19	858	1070
0.2	1126	1383
0.21	784	1016
0.22	549	688
0.23	802	1120
0.24	637	868
0.25	433	603
0.26	609	860
0.27	642	1006
0.28	448	679
0.29	546	792
0.3	601	1002
0.31	420	646
0.32	507	791
0.33	636	928
0.34	397	578
0.35	333	532
0.36	595	908
0.37	383	607
0.38	427	666
0.39	384	641
0.4	515	930
0.41	422	679
0.42	440	683
0.43	364	658
0.44	473	750
0.45	436	719
0.46	167	257
0.47	335	529
0.48	383	679
0.49	445	764
0.5	456	794
0.51	440	757
0.52	366	628
0.53	332	510
0.54	166	304
0.55	402	707
0.56	459	716
0.57	326	588
0.58	349	647
0.59	339	609
0.6	447	780
0.61	321	531
0.62	342	587
0.63	322	529
0.64	508	855
0.65	267	441
0.66	275	537
0.67	450	781
0.68	416	612
0.69	313	479
0.7	417	801
0.71	395	645
0.72	319	578
0.73	442	730
0.74	408	681
0.75	278	470
0.76	410	704
0.77	475	828
0.78	368	555
0.79	434	832
0.8	566	939
0.81	455	776
0.82	625	1021
0.83	328	488
0.84	783	1328
0.85	239	341
0.86	829	1304
0.87	299	405
0.88	697	1117
0.89	735	1203
0.9	521	759
0.91	1103	1877
0.92	266	380
0.93	1942	3034
0.94	30	40
0.95	2291	3271
0.96	838	1142
0.97	404	393
0.98	7229	8024
