"X"	"pN"	"pS"
"0.01"	7560	6906
"0.02"	3638	3503
"0.03"	2320	2382
"0.04"	1633	1741
"0.05"	1167	1378
"0.06"	1456	1455
"0.07"	714	837
"0.08"	627	779
"0.09"	569	654
"0.1"	442	579
"0.11"	408	530
"0.12"	543	656
"0.13"	330	426
"0.14"	276	385
"0.15"	278	345
"0.16"	238	327
"0.17"	269	276
"0.18"	219	278
"0.19"	269	397
"0.2"	197	265
"0.21"	180	237
"0.22"	163	216
"0.23"	167	201
"0.24"	152	219
"0.25"	232	309
"0.26"	133	170
"0.27"	95	156
"0.28"	120	160
"0.29"	122	157
"0.3"	109	153
"0.31"	158	216
"0.32"	83	148
"0.33"	107	147
"0.34"	91	112
"0.35"	95	115
"0.36"	80	141
"0.37"	86	114
"0.38"	120	177
"0.39"	69	102
"0.4"	78	117
"0.41"	84	110
"0.42"	75	108
"0.43"	81	112
"0.44"	87	145
"0.45"	81	101
"0.46"	71	110
"0.47"	83	100
"0.48"	59	96
"0.49"	60	98
"0.5"	96	116
"0.51"	51	85
"0.52"	61	84
"0.53"	53	86
"0.54"	54	90
"0.55"	49	55
"0.56"	85	114
"0.57"	54	77
"0.58"	54	76
"0.59"	61	83
"0.6"	55	88
"0.61"	44	79
"0.62"	70	109
"0.63"	49	85
"0.64"	54	65
"0.65"	62	76
"0.66"	48	73
"0.67"	58	74
"0.68"	52	76
"0.69"	79	123
"0.7"	81	85
"0.71"	65	81
"0.72"	61	94
"0.73"	47	81
"0.74"	51	82
"0.75"	89	150
"0.76"	67	82
"0.77"	78	86
"0.78"	67	101
"0.79"	72	78
"0.8"	58	94
"0.81"	103	149
"0.82"	82	127
"0.83"	92	102
"0.84"	74	93
"0.85"	95	128
"0.86"	81	131
"0.87"	98	150
"0.88"	154	227
"0.89"	121	138
"0.9"	133	173
"0.91"	161	171
"0.92"	183	209
"0.93"	172	203
"0.94"	342	404
"0.95"	339	341
"0.96"	402	430
"0.97"	496	560
"0.98"	824	828
"0.99"	1687	1484
