"X"	"pN"	"pS"
"0.01"	78836	102235
"0.02"	21554	39814
"0.03"	10401	22817
"0.04"	6263	15496
"0.05"	4209	11701
"0.06"	4467	12986
"0.07"	2557	8506
"0.08"	1958	6696
"0.09"	1537	5285
"0.1"	1496	5103
"0.11"	1204	4391
"0.12"	1107	4255
"0.13"	899	3601
"0.14"	827	3306
"0.15"	802	3133
"0.16"	718	2915
"0.17"	714	2822
"0.18"	630	2560
"0.19"	834	3582
"0.2"	542	2230
"0.21"	618	2512
"0.22"	472	2115
"0.23"	475	2038
"0.24"	434	2008
"0.25"	447	1969
"0.26"	371	1834
"0.27"	370	1731
"0.28"	352	1627
"0.29"	330	1702
"0.3"	322	1726
"0.31"	443	2140
"0.32"	325	1427
"0.33"	276	1440
"0.34"	297	1420
"0.35"	257	1330
"0.36"	303	1542
"0.37"	258	1286
"0.38"	272	1342
"0.39"	232	1212
"0.4"	242	1240
"0.41"	230	1247
"0.42"	237	1301
"0.43"	211	1154
"0.44"	333	1614
"0.45"	200	1150
"0.46"	177	1066
"0.47"	230	1064
"0.48"	208	1075
"0.49"	211	1059
"0.5"	269	1325
"0.51"	210	1068
"0.52"	181	988
"0.53"	183	1040
"0.54"	201	1026
"0.55"	181	975
"0.56"	272	1358
"0.57"	181	1004
"0.58"	193	1042
"0.59"	181	1032
"0.6"	186	940
"0.61"	201	961
"0.62"	169	1013
"0.63"	157	957
"0.64"	217	1120
"0.65"	187	941
"0.66"	190	962
"0.67"	180	911
"0.68"	171	974
"0.69"	278	1381
"0.7"	193	1014
"0.71"	181	990
"0.72"	181	1002
"0.73"	185	981
"0.74"	203	999
"0.75"	216	1117
"0.76"	201	1034
"0.77"	216	1007
"0.78"	201	1067
"0.79"	236	1213
"0.8"	234	1092
"0.81"	353	1637
"0.82"	256	1162
"0.83"	271	1219
"0.84"	289	1251
"0.85"	277	1330
"0.86"	296	1365
"0.87"	318	1426
"0.88"	337	1523
"0.89"	380	1650
"0.9"	463	1846
"0.91"	431	1875
"0.92"	606	2260
"0.93"	695	2740
"0.94"	1191	3967
"0.95"	1116	3287
"0.96"	1536	4343
"0.97"	2332	5829
"0.98"	4654	9920
"0.99"	16284	23695
