kn_ks	region	pop	species
0.216362601460078	WGS	YRI	H. sapiens
0.2185903662736	WGS	YRI	H. sapiens
0.216220636002577	WGS	YRI	H. sapiens
0.219127316674409	WGS	YRI	H. sapiens
0.213201645093499	WGS	YRI	H. sapiens
0.216925369553563	WGS	YRI	H. sapiens
0.221831698059073	WGS	YRI	H. sapiens
0.216910118251952	WGS	YRI	H. sapiens
0.221742789884329	WGS	YRI	H. sapiens
0.217728846854225	WGS	YRI	H. sapiens
0.217967129149001	WGS	YRI	H. sapiens
0.214362119622109	WGS	YRI	H. sapiens
0.211629320710195	WGS	YRI	H. sapiens
0.2163998342911	WGS	YRI	H. sapiens
0.21583994071947	WGS	YRI	H. sapiens
0.218300319970461	WGS	YRI	H. sapiens
0.21662628454202	WGS	YRI	H. sapiens
0.21567233514736	WGS	YRI	H. sapiens
0.220134020659942	WGS	YRI	H. sapiens
0.217588096112488	WGS	YRI	H. sapiens
0.216432971761243	WGS	YRI	H. sapiens
0.214930459623765	WGS	YRI	H. sapiens
0.21308378673149	WGS	YRI	H. sapiens
0.218351184374617	WGS	YRI	H. sapiens
0.215504725214312	WGS	YRI	H. sapiens
0.216717231348983	WGS	YRI	H. sapiens
0.218217878707527	WGS	YRI	H. sapiens
0.220608940668325	WGS	YRI	H. sapiens
0.216025086111017	WGS	YRI	H. sapiens
0.220201376107903	WGS	YRI	H. sapiens
0.213939035506006	WGS	YRI	H. sapiens
0.214633523744501	WGS	YRI	H. sapiens
0.213515851466068	WGS	YRI	H. sapiens
0.218314512276969	WGS	YRI	H. sapiens
0.215590697589914	WGS	YRI	H. sapiens
0.221592764189751	WGS	YRI	H. sapiens
0.218721808283349	WGS	YRI	H. sapiens
0.216161721692226	WGS	YRI	H. sapiens
0.217457972218734	WGS	YRI	H. sapiens
0.21327087953486	WGS	YRI	H. sapiens
0.215738722511112	WGS	YRI	H. sapiens
0.217265329084474	WGS	YRI	H. sapiens
0.219436222567827	WGS	YRI	H. sapiens
0.217417739782449	WGS	YRI	H. sapiens
0.216760153716224	WGS	YRI	H. sapiens
0.219019070545333	WGS	YRI	H. sapiens
0.213584629448638	WGS	YRI	H. sapiens
0.215727494379297	WGS	YRI	H. sapiens
0.217740513488622	WGS	YRI	H. sapiens
0.218156001709013	WGS	YRI	H. sapiens
0.218343954993519	WGS	YRI	H. sapiens
0.216440606324211	WGS	YRI	H. sapiens
0.217944018869341	WGS	YRI	H. sapiens
0.217342985672135	WGS	YRI	H. sapiens
0.213997973924266	WGS	YRI	H. sapiens
0.218857429118901	WGS	YRI	H. sapiens
0.21984287790791	WGS	YRI	H. sapiens
0.211371142864626	WGS	YRI	H. sapiens
0.21904204320089	WGS	YRI	H. sapiens
0.21792389823783	WGS	YRI	H. sapiens
0.211422679808368	WGS	YRI	H. sapiens
0.214867763753506	WGS	YRI	H. sapiens
0.217273625385196	WGS	YRI	H. sapiens
0.219773425834729	WGS	YRI	H. sapiens
0.218719197997491	WGS	YRI	H. sapiens
0.217672830904012	WGS	YRI	H. sapiens
0.218912018061462	WGS	YRI	H. sapiens
0.215251231156878	WGS	YRI	H. sapiens
0.219379054987897	WGS	YRI	H. sapiens
0.215330710953598	WGS	YRI	H. sapiens
0.217944682413407	WGS	YRI	H. sapiens
0.217494708608607	WGS	YRI	H. sapiens
0.212626331819673	WGS	YRI	H. sapiens
0.216365293221378	WGS	YRI	H. sapiens
0.21952823179751	WGS	YRI	H. sapiens
0.221226567856437	WGS	YRI	H. sapiens
0.221382337745442	WGS	YRI	H. sapiens
0.219070775923826	WGS	YRI	H. sapiens
0.220027895709853	WGS	YRI	H. sapiens
0.214559570367194	WGS	YRI	H. sapiens
0.217260631301131	WGS	YRI	H. sapiens
0.214253899776866	WGS	YRI	H. sapiens
0.215875779183938	WGS	YRI	H. sapiens
0.217972465579026	WGS	YRI	H. sapiens
0.220470870094665	WGS	YRI	H. sapiens
0.21207579063128	WGS	YRI	H. sapiens
0.215213720879769	WGS	YRI	H. sapiens
0.214908864058536	WGS	YRI	H. sapiens
0.217618120372416	WGS	YRI	H. sapiens
0.21783532436889	WGS	YRI	H. sapiens
0.218718796368576	WGS	YRI	H. sapiens
0.212806591967705	WGS	YRI	H. sapiens
0.217738756673201	WGS	YRI	H. sapiens
0.213342335882893	WGS	YRI	H. sapiens
0.216736589319628	WGS	YRI	H. sapiens
0.215418947195585	WGS	YRI	H. sapiens
0.220307760644066	WGS	YRI	H. sapiens
0.212460401862814	WGS	YRI	H. sapiens
0.21624917498768	WGS	YRI	H. sapiens
0.222261692306026	WGS	YRI	H. sapiens
0.220293821514331	WGS	YRI	H. sapiens
0.21490857945173	WGS	YRI	H. sapiens
0.213392585622925	WGS	YRI	H. sapiens
0.21683264947196	WGS	YRI	H. sapiens
0.218197621916356	WGS	YRI	H. sapiens
0.217503073891429	WGS	YRI	H. sapiens
0.215701800397398	WGS	YRI	H. sapiens
0.21795543537548	WGS	YRI	H. sapiens
0.218624983786596	WGS	YRI	H. sapiens
0.219182671692845	WGS	YRI	H. sapiens
