pin_pis	region	pop	species
0.289683884664693	WGS	YRI	H. sapiens
0.257650716025955	WGS	YRI	H. sapiens
0.294678919971016	WGS	YRI	H. sapiens
0.248868722223352	WGS	YRI	H. sapiens
0.274195747810147	WGS	YRI	H. sapiens
0.295135202753114	WGS	YRI	H. sapiens
0.303050637763175	WGS	YRI	H. sapiens
0.278544111815517	WGS	YRI	H. sapiens
0.322791045327759	WGS	YRI	H. sapiens
0.290749488760498	WGS	YRI	H. sapiens
0.292461171311709	WGS	YRI	H. sapiens
0.297587237516795	WGS	YRI	H. sapiens
0.230103669800266	WGS	YRI	H. sapiens
0.271342726150281	WGS	YRI	H. sapiens
0.33100782149935	WGS	YRI	H. sapiens
0.276833092951606	WGS	YRI	H. sapiens
0.288628580120131	WGS	YRI	H. sapiens
0.291327108309124	WGS	YRI	H. sapiens
0.274167287143296	WGS	YRI	H. sapiens
0.290330450274369	WGS	YRI	H. sapiens
0.30087315072602	WGS	YRI	H. sapiens
0.294754654415207	WGS	YRI	H. sapiens
0.262990457814159	WGS	YRI	H. sapiens
0.327452962572444	WGS	YRI	H. sapiens
0.293985041324733	WGS	YRI	H. sapiens
0.264703078279292	WGS	YRI	H. sapiens
0.289838398724001	WGS	YRI	H. sapiens
0.307840265753372	WGS	YRI	H. sapiens
0.314251810026787	WGS	YRI	H. sapiens
0.286152738252629	WGS	YRI	H. sapiens
0.278329904207842	WGS	YRI	H. sapiens
0.293943370636897	WGS	YRI	H. sapiens
0.36459615248495	WGS	YRI	H. sapiens
0.230366661763843	WGS	YRI	H. sapiens
0.283603308205005	WGS	YRI	H. sapiens
0.258939954429794	WGS	YRI	H. sapiens
0.323674582750266	WGS	YRI	H. sapiens
0.269490075198804	WGS	YRI	H. sapiens
0.294771550961635	WGS	YRI	H. sapiens
0.346098215507549	WGS	YRI	H. sapiens
0.293550540688617	WGS	YRI	H. sapiens
0.301479596153997	WGS	YRI	H. sapiens
0.28272621139065	WGS	YRI	H. sapiens
0.304567353646205	WGS	YRI	H. sapiens
0.308546251301022	WGS	YRI	H. sapiens
0.271625852971089	WGS	YRI	H. sapiens
0.266091668861203	WGS	YRI	H. sapiens
0.243202623013293	WGS	YRI	H. sapiens
0.309904878987891	WGS	YRI	H. sapiens
0.324222366731929	WGS	YRI	H. sapiens
0.290167866646876	WGS	YRI	H. sapiens
0.271372666235146	WGS	YRI	H. sapiens
0.312430408372424	WGS	YRI	H. sapiens
0.280955101621444	WGS	YRI	H. sapiens
0.341399143770963	WGS	YRI	H. sapiens
0.239828409662187	WGS	YRI	H. sapiens
0.294870377743716	WGS	YRI	H. sapiens
0.303809427669194	WGS	YRI	H. sapiens
0.30776455881092	WGS	YRI	H. sapiens
0.276554819269749	WGS	YRI	H. sapiens
0.31638604004095	WGS	YRI	H. sapiens
0.246121506012176	WGS	YRI	H. sapiens
0.259872752490551	WGS	YRI	H. sapiens
0.312291250564863	WGS	YRI	H. sapiens
0.25058788902085	WGS	YRI	H. sapiens
0.301836891257768	WGS	YRI	H. sapiens
0.304502913984212	WGS	YRI	H. sapiens
0.257151996170099	WGS	YRI	H. sapiens
0.299675344059164	WGS	YRI	H. sapiens
0.290859031964413	WGS	YRI	H. sapiens
0.277077426148553	WGS	YRI	H. sapiens
0.29893425990201	WGS	YRI	H. sapiens
0.303060264608347	WGS	YRI	H. sapiens
0.316976357163466	WGS	YRI	H. sapiens
0.272975759223372	WGS	YRI	H. sapiens
0.314333509100892	WGS	YRI	H. sapiens
0.292112827860058	WGS	YRI	H. sapiens
0.260697886504691	WGS	YRI	H. sapiens
0.295484124312362	WGS	YRI	H. sapiens
0.249717238823236	WGS	YRI	H. sapiens
0.269901920417887	WGS	YRI	H. sapiens
0.268002724786055	WGS	YRI	H. sapiens
0.282989534458243	WGS	YRI	H. sapiens
0.272073759614389	WGS	YRI	H. sapiens
0.273058196071632	WGS	YRI	H. sapiens
0.28244777566766	WGS	YRI	H. sapiens
0.243184072829448	WGS	YRI	H. sapiens
0.274013545282345	WGS	YRI	H. sapiens
0.23738959916417	WGS	YRI	H. sapiens
0.314434466725923	WGS	YRI	H. sapiens
0.297569869561711	WGS	YRI	H. sapiens
0.287786374328352	WGS	YRI	H. sapiens
0.278684049508976	WGS	YRI	H. sapiens
0.29775773973689	WGS	YRI	H. sapiens
0.310544527041546	WGS	YRI	H. sapiens
0.275702383230299	WGS	YRI	H. sapiens
0.288510609351051	WGS	YRI	H. sapiens
0.282048907498434	WGS	YRI	H. sapiens
0.301952166938585	WGS	YRI	H. sapiens
0.296352803044416	WGS	YRI	H. sapiens
0.261419301041771	WGS	YRI	H. sapiens
0.293039822634231	WGS	YRI	H. sapiens
0.300711697158514	WGS	YRI	H. sapiens
0.300563762093309	WGS	YRI	H. sapiens
0.296442805422663	WGS	YRI	H. sapiens
0.288217941189591	WGS	YRI	H. sapiens
0.288810769425776	WGS	YRI	H. sapiens
0.273809615695525	WGS	YRI	H. sapiens
0.285404976645912	WGS	YRI	H. sapiens
0.26871861775207	WGS	YRI	H. sapiens
0.317026946791535	WGS	YRI	H. sapiens
0.272364518858167	WGS	YRI	H. sapiens
0.276161950120721	WGS	YRI	H. sapiens
0.274521314824027	WGS	YRI	H. sapiens
0.281964623768558	WGS	YRI	H. sapiens
0.324308932117695	WGS	YRI	H. sapiens
0.281301878082151	WGS	YRI	H. sapiens
0.24996083438737	WGS	YRI	H. sapiens
0.302974234652863	WGS	YRI	H. sapiens
0.284778864914866	WGS	YRI	H. sapiens
0.281730734708725	WGS	YRI	H. sapiens
0.331688031745958	WGS	YRI	H. sapiens
0.332911893819876	WGS	YRI	H. sapiens
0.332027749892451	WGS	YRI	H. sapiens
0.31399497627057	WGS	YRI	H. sapiens
0.29473489152845	WGS	YRI	H. sapiens
0.296377713062789	WGS	YRI	H. sapiens
0.368810631105392	WGS	YRI	H. sapiens
0.290700183488566	WGS	YRI	H. sapiens
0.303336172551292	WGS	YRI	H. sapiens
0.258573324259434	WGS	YRI	H. sapiens
0.232737948674241	WGS	YRI	H. sapiens
0.266806951335873	WGS	YRI	H. sapiens
0.279672235688827	WGS	YRI	H. sapiens
0.283733173207667	WGS	YRI	H. sapiens
0.373873294404715	WGS	YRI	H. sapiens
0.294344029047242	WGS	YRI	H. sapiens
0.225450314610163	WGS	YRI	H. sapiens
0.23921948989447	WGS	YRI	H. sapiens
0.343609860224229	WGS	YRI	H. sapiens
0.309561743619785	WGS	YRI	H. sapiens
0.295404795084004	WGS	YRI	H. sapiens
0.319254538721582	WGS	YRI	H. sapiens
0.295297250626138	WGS	YRI	H. sapiens
0.357446096907985	WGS	YRI	H. sapiens
0.310905837679681	WGS	YRI	H. sapiens
0.265922010255289	WGS	YRI	H. sapiens
0.296770636643115	WGS	YRI	H. sapiens
0.284318690125133	WGS	YRI	H. sapiens
0.309399399131739	WGS	YRI	H. sapiens
0.254517191859412	WGS	YRI	H. sapiens
0.274647254588458	WGS	YRI	H. sapiens
0.284633477490399	WGS	YRI	H. sapiens
0.286651796784874	WGS	YRI	H. sapiens
0.296248189160969	WGS	YRI	H. sapiens
0.269961224424083	WGS	YRI	H. sapiens
0.283438496407775	WGS	YRI	H. sapiens
0.278585353531918	WGS	YRI	H. sapiens
0.278497705601137	WGS	YRI	H. sapiens
0.265032628182691	WGS	YRI	H. sapiens
0.292475650425658	WGS	YRI	H. sapiens
0.295003366528547	WGS	YRI	H. sapiens
0.280428538568682	WGS	YRI	H. sapiens
0.317310544514459	WGS	YRI	H. sapiens
0.249277690808323	WGS	YRI	H. sapiens
0.276239215604032	WGS	YRI	H. sapiens
0.27317230140699	WGS	YRI	H. sapiens
0.268575809502237	WGS	YRI	H. sapiens
0.294537254383016	WGS	YRI	H. sapiens
0.265724710874491	WGS	YRI	H. sapiens
0.317333263111343	WGS	YRI	H. sapiens
0.28140858088587	WGS	YRI	H. sapiens
0.274818027004094	WGS	YRI	H. sapiens
0.278812492756607	WGS	YRI	H. sapiens
0.309226711674085	WGS	YRI	H. sapiens
0.332418808065981	WGS	YRI	H. sapiens
0.306048156468355	WGS	YRI	H. sapiens
0.301766854613666	WGS	YRI	H. sapiens
0.358958711964649	WGS	YRI	H. sapiens
0.3398568826191	WGS	YRI	H. sapiens
0.324874032070204	WGS	YRI	H. sapiens
0.293942258199017	WGS	YRI	H. sapiens
0.328521020394262	WGS	YRI	H. sapiens
0.31081756912623	WGS	YRI	H. sapiens
0.267636852293931	WGS	YRI	H. sapiens
0.31553509659694	WGS	YRI	H. sapiens
0.289946019504641	WGS	YRI	H. sapiens
0.320532009703399	WGS	YRI	H. sapiens
0.24842950334921	WGS	YRI	H. sapiens
0.290000037180969	WGS	YRI	H. sapiens
0.288437075310627	WGS	YRI	H. sapiens
0.329647058871831	WGS	YRI	H. sapiens
0.271949394321897	WGS	YRI	H. sapiens
0.288363604698841	WGS	YRI	H. sapiens
